id_match,gols,assist
CA1,Carlinhos,
CA2,Thiaguinho,
CA3,Wallace Yan,Guilherme
CA4,Felipe Teresa,Wallace Yan
CA4,Wallace Yan,Felipe Teresa
CA4,Carlinhos,Guilherme
CA4,Guilherme,Daniel Sales
CA4,Carlinhos,
CA5,Michael,
CA5,Gonzalo Plata,
CA6,Wallace Yan,Luiz Araújo
CA6,Alcaraz,Luiz Araújo
SC1,Bruno Henrique,Pênalti
SC1,Bruno Henrique,Michael
SC1,Luiz Araújo,
CA8,Juninho,
CA8,Luiz Araújo,
CA8,Arrascaeta,Pênalti
CA8,Matheus Gonçalves,Arrascaeta
CA8,Wallace Yan,Guilherme
CA10,Léo Ortiz,Danilo
CA11,Bruno Henrique,Pênalti
CA11,Everton Cebolinha,Wesley
CA12,Gerson,
CA12,Léo Ortiz,
CA12,Arrascaeta,Plata
CA12,Luiz Araújo,Arrascaeta
CA12,Matheus Gonçalves,Wallace Yan
CA13,Bruno Henrique,Plata
CA14,Bruno Henrique,
CA14,Luiz Araújo,Gerson
CA15,Wesley,Plata
CA15,Juninho,
BR1,Léo Pereira,Michael
LIB1,Juninho,Bruno Henrique
BR2,Arrascaeta,
BR2,Bruno Henrique,Luiz Araújo
LIB2,de la Cruz,
BR3,Arrascaeta,
BR3,Arrascaeta,Everton Cebolinha
BR4,Pulgar,Arrascaeta
BR4,Plata,Gerson
BR4,Danilo,Arrascaeta
BR4,Arrascaeta,Michael
BR4,Pedro,Wesley
BR4,Pedro,Pênalti
BR6,Everton Cebolinha,Arrascaeta
BR6,Arrascaeta,Pedro
BR6,Pedro,
BR6,Pedro,Pênalti
CB1,Joshua,
BR7,Arrascaeta,Gerson
LIB4,Arrascaeta,Gerson
BR8,Arrascaeta,Michael
LIB5,Léo Ortiz,Luiz Araújo
LIB5,Luiz Araújo,
CB2,Danilo,Pedro
CB2,Pedro,Everton Cebolinha
CB2,Varela,Ayrton Lucas
CB2,Everton Cebolinha,Varela
BR10,Arrascaeta,Pênalti
BR10,Ayrton Lucas, Wallace Yan
LIB6,Léo Pereira,Luiz Araújo
BR11,Arrascaeta,Léo Ortiz
BR11,Evertton Araújo,Varela
BR11,Luiz Araújo,Arrascaeta
BR11,Michael,Varela
BR11,Luiz Araújo,Pedro
