id_match,gols,assist
CA1,Carlinhos,NaN
CA2,Thiaguinho,NaN
CA3,Wallace,Guilherme
CA4,Felipe Teresa,Wallace
CA4,Wallace,Felipe Teresa
CA4,Carlinhos,Guilherme
CA4,Guilherme,Daniel Sales
CA4,Carlinhos,NaN
CA5,Michael,NaN
CA5,Gonzalo Plata,NaN
CA6,Wallace,Luiz Araújo
CA6,Alcaraz,Luiz Araújo
SC1,Bruno Henrique,Pênalti
SC1,Bruno Henrique,Michael
SC1,Luiz Araújo,NaN
CA8,Juninho,NaN
CA8,Luiz Araújo,NaN
CA8,Arrascaeta,Pênalti
CA8,Matheus Gonçalves,Arrascaeta
CA8,Wallace,Guilherme
CA10,Léo Ortiz,Danilo
CA11,Bruno Henrique,Pênalti
CA11,Everton Cebolinha,Wesley
CA12,Gerson,NaN
CA12,Léo Ortiz,NaN
CA12,Arrascaeta,Plata
CA12,Luiz Araújo,Arrascaeta
CA12,Matheus Gonçalves,Wallace
CA13,Bruno Henrique,Plata
CA14,Bruno Henrique,NaN
CA14,Luiz Araújo,Gerson
CA15,Wesley,Plata
CA15,Juninho,NaN
BR1,Léo Pereira,Michael
LIB1,Juninho,Bruno Henrique
BR2,Arrascaeta,NaN
BR2,Bruno Henrique,Luiz Araújo
LIB2,de la Cruz,NaN
BR3,Arrascaeta,NaN
BR3,Arrascaeta,Everton Cebolinha
BR4,Pulgar,Arrascaeta
BR4,Plata,Gerson
BR4,Danilo,Arrascaeta
BR4,Arrascaeta,Michael
BR4,Pedro,Wesley
BR4,Pedro,Pênalti
BR6,Everton Cebolinha,Arrascaeta
BR6,Arrascaeta,Pedro
BR6,Pedro,NaN
BR6,Pedro,Pênalti
